Day,Title,TopicsCovered,LearningObjectives,PracticalLab,LabSteps,ExampleCommandsOrChecks,RealTimeIssues,TroubleshootingTips,SuggestedResources
21,Mid-Course Assessment Lab,Full branch deployment assessment with checklist,Prove ability to deploy and troubleshoot a complete branch,"Lab: Deploy 2 branches, apply policies, run tests and capture results",1) Run verification checklist and capture screenshots/logs,N/A,Issue: Missed checklist items causing post-deploy tickets,Use automated pre-check scripts and peer-review of checklist,"Checklists, runbooks"
22,Multi-Region Design & Hubbing,"Regional hubs, scale, regional controller placement",Design scalable multi-region SD-WAN with reduced latency,Lab: Create high-level multi-region design with hub pairs and failover,"1) Diagram regional hubs, document TLOC plans",N/A,Issue: Asymmetric routing across regions,Plan for route symmetry and consistent path preferences,Design playbooks
23,Cloud On-Ramp (AWS/Azure/GCP),"Transit Gateways, Virtual WAN, cloud edge integration patterns",Integrate SD-WAN fabric with major cloud providers,Lab: Sketch AWS Transit Gateway integration; configure cloud edge in vendor lab,"1) Document VPC attachments, BGP peering, and security controls",show cloud peering status (vendor/cloud consoles),Issue: Suboptimal path to cloud causing latency,Use cloud on-ramp hubs in region and optimize local breakout,Cloud integration guides
24,SASE/SSE & Security Stack Integration,"Zscaler, Prisma, Umbrella; SSE use-cases and traffic steering",Connect SD-WAN to security services for Internet-bound traffic,Lab: Design and document steering internet traffic to SSE (conceptual),1) Create policy to forward internet traffic to Zscaler/Prisma,show service-chain stats (vendor UI),Issue: Increased latency when hairpinning through security service,Use local internet breakout and select nearest SSE POP; tune policies,SASE whitepapers
25,Troubleshooting Deep Dive (CLI + Logs),"Tunnels, BFD, OMP/BGP, high CPU, flow captures, log analysis",Master a troubleshooting workflow for common and complex faults,"Lab: Use packet captures, log analysis and reproduce common faults",1) Capture traffic on WAN and overlay; 2) Correlate logs and events,"tcpdump/wiretrace, show process cpu, show logs",Issue: High CPU due to DPI or flow table overload,"Identify offending flows, adjust DPI policies or upgrade device",Troubleshooting KBs
26,"Automation: APIs, Ansible & Scripts","Vendor REST APIs, JSON configs, Ansible playbooks, automation patterns","Automate repetitive tasks: device inventory, template push, reports",Lab: Write a basic script to pull device inventory and template status via API,1) Use API explorer; 2) Run sample curl or Python to fetch device list,"curl /api/v1/devices, sample Python snippet",Issue: API schema changes across versions break scripts,"Version-lock automation, use API versioning and error handling","API docs, Python/Ansible examples"
27,High Availability & HA Patterns,"Controller HA, active-active edges, VRRP/HSRP interplay, BFD tuning",Plan for controller and edge redundancy for 99.9x availability,Lab: Document HA design and validate active/standby behavior in lab,1) Simulate controller failover and observe edge behavior,"show controller status, show ha summary",Issue: Split-brain or stale config after failover,Ensure consistent config replication and test failovers regularly,HA guides
28,Real-World Case Studies & Lessons,"Retail, Banking, Healthcare, Multi-cloud enterprises; common pitfalls",Learn from real deployments and incorporate best practices,Lab: Read 3 case studies and extract design decisions and failures,1) Create a lessons-learned document with mitigation strategies,N/A,Issue: Compliance/regulation constraints in verticals,Document controls and involve security/compliance early,Case study repos
29,Design Proposal: Full SD-WAN Solution,"Architecture, IP plan, routing, security, migration, monitoring",Produce a production-ready SD-WAN design proposal,Lab: Build a 10-page design doc for a sample enterprise,"1) Include diagrams, IP addressing, cutover plan, rollback",N/A,Issue: Stakeholder misalignment on design goals,Run stakeholder reviews and produce simplified executive summary,Design templates
30,Final Assessment & Interview Prep,"Review entire course, sample interview questions, portfolio prep",Demonstrate readiness for real roles and interviews,Lab: Present design and troubleshooting report; complete mock interview,1) Present to peer or mentor; 2) Create portfolio of lab screenshots/logs,N/A,Issue: Nervousness or gaps under pressure in interviews,Practice mock interviews and build cheat-sheet for core commands,"Interview guides, sample questions"
